USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
    wavelength    reflectance    standard-deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Quartz HS32.4B               W1R1Ba AREF
copy of splib05a r 5854
    wavelength    reflectance     standard-deviation
    0.205100      Nan       0.305216
    0.213100      Nan        0.029252
    0.221100       0.360740       0.006786
    0.229100       0.386292       0.003317
    0.236100       0.394528       0.001799
    0.242100       0.407354       0.001193
    0.248100       0.421070       0.001141
    0.253600       0.435740       0.001112
    0.258600       0.448346       0.001098
    0.263600       0.464696       0.001108
    0.268600       0.477458       0.001131
    0.273100       0.490531       0.001155
    0.277100       0.496504       0.001177
    0.281100       0.503924       0.001219
    0.285100       0.516555       0.001257
    0.289100       0.526521       0.001299
    0.293100       0.534278       0.001358
    0.297100       0.543309       0.001413
    0.301100       0.549276       0.001454
    0.305100       0.557347       0.001502
    0.309100       0.561982       0.001524
    0.313100       0.569382       0.001569
    0.317100       0.577317       0.001302
    0.321100       0.587794       0.001610
    0.325100       0.592415       0.001627
    0.329100       0.598747       0.001622
    0.333100       0.605859       0.001638
    0.337100       0.616102       0.001663
    0.341100       0.620261       0.001642
    0.345100       0.623431       0.001643
    0.349100       0.633037       0.001671
    0.353100       0.636659       0.001587
    0.357100       0.645375       0.001572
    0.360600       0.652082       0.001650
    0.363600       0.652590       0.001635
    0.366600       0.658268       0.000979
    0.369600       0.662321       0.001657
    0.372600       0.667349       0.001666
    0.375600       0.668712       0.001515
    0.378600       0.672006       0.001382
    0.381100       0.671501       0.001633
    0.383100       0.677687       0.001707
    0.385100       0.677670       0.001425
    0.387100       0.680277       0.001636
    0.389100       0.681806       0.001707
    0.391100       0.683126       0.001686
    0.393100       0.685843       0.001611
    0.395100       0.687896       0.001480
    0.397100       0.688849       0.001649
    0.399100       0.688775       0.001710
    0.401100       0.690291       0.001084
    0.403100       0.692649       0.001628
    0.405100       0.695819       0.000860
    0.407100       0.696461       0.001524
    0.409100       0.695078       0.001093
    0.411100       0.696853       0.001419
    0.412800       0.702161       0.001709
    0.415800       0.701917       0.001677
    0.418800       0.700875       0.001687
    0.421800       0.708459       0.001683
    0.424800       0.705454       0.001560
    0.427800       0.711720       0.001467
    0.430800       0.711352       0.001387
    0.433800       0.712567       0.001735
    0.436800       0.710193       0.001280
    0.439800       0.717845       0.001470
    0.442800       0.717068       0.001410
    0.445800       0.719005       0.001645
    0.448800       0.715900       0.001640
    0.451300       0.717793       0.001465
    0.453300       0.724635       0.001779
    0.455300       0.722986       0.001756
    0.457300       0.725712       0.001760
    0.459300       0.726070       0.001769
    0.461300       0.729601       0.001729
    0.463300       0.728705       0.001766
    0.465300       0.728207       0.001709
    0.467300       0.729938       0.001727
    0.469300       0.730369       0.001753
    0.471300       0.729413       0.001353
    0.473300       0.733604       0.001772
    0.475300       0.729445       0.001750
    0.477300       0.731615       0.001684
    0.479300       0.738718       0.001796
    0.481300       0.736302       0.001793
    0.483300       0.736052       0.001781
    0.485300       0.736084       0.001789
    0.487300       0.738749       0.001298
    0.489300       0.738687       0.001150
    0.491300       0.740233       0.001640
    0.493300       0.739717       0.001808
    0.495300       0.740584       0.001792
    0.497300       0.743852       0.001338
    0.499300       0.739490       0.001786
    0.501300       0.743745       0.001797
    0.503300       0.740115       0.001793
    0.505300       0.742317       0.001774
    0.507300       0.741857       0.001654
    0.509300       0.743674       0.001801
    0.511300       0.745228       0.001812
    0.513300       0.746426       0.001772
    0.515300       0.747953       0.001772
    0.517300       0.745582       0.001422
    0.519300       0.746550       0.001707
    0.521300       0.746716       0.001534
    0.523300       0.747453       0.001799
    0.525300       0.748959       0.001772
    0.527300       0.745992       0.001719
    0.529300       0.746720       0.001835
    0.531300       0.751623       0.001819
    0.533300       0.751391       0.001810
    0.535300       0.752783       0.001842
    0.537300       0.752181       0.001477
    0.539300       0.751812       0.001817
    0.541300       0.749600       0.001716
    0.543300       0.753036       0.001588
    0.545300       0.751790       0.001779
    0.547300       0.751361       0.001819
    0.549300       0.756054       0.001759
    0.551300       0.752748       0.001163
    0.553300       0.752476       0.001585
    0.555300       0.756627       0.001754
    0.557300       0.752529       0.001149
    0.559300       0.755196       0.001328
    0.561300       0.757461       0.001726
    0.563300       0.755894       0.001214
    0.565300       0.754159       0.001799
    0.567300       0.753924       0.001803
    0.569300       0.759010       0.001358
    0.571300       0.760025       0.001822
    0.573300       0.758600       0.001835
    0.575300       0.755778       0.000855
    0.577300       0.758728       0.001046
    0.579300       0.757909       0.001261
    0.581300       0.757307       0.001205
    0.583300       0.760623       0.000972
    0.585300       0.758500       0.001523
    0.587300       0.762289       0.001801
    0.589300       0.758614       0.001784
    0.591300       0.764413       0.001291
    0.593300       0.762571       0.001849
    0.595300       0.760280       0.001548
    0.597300       0.761794       0.001798
    0.599300       0.761430       0.001843
    0.601100       0.762018       0.001814
    0.602700       0.760882       0.001828
    0.604300       0.758454       0.001775
    0.605900       0.763518       0.001833
    0.607500       0.761866       0.001804
    0.609100       0.759980       0.001806
    0.610700       0.766166       0.001817
    0.612300       0.763695       0.001761
    0.613900       0.764448       0.001839
    0.615500       0.766522       0.001767
    0.617100       0.763115       0.001836
    0.618700       0.764975       0.001764
    0.620300       0.765064       0.001729
    0.621900       0.761180       0.001657
    0.623500       0.766380       0.001804
    0.625100       0.767788       0.001822
    0.626700       0.762910       0.001780
    0.628300       0.765791       0.001832
    0.629900       0.760769       0.001619
    0.631700       0.763700       0.001048
    0.633700       0.766863       0.001778
    0.635700       0.763475       0.001341
    0.637700       0.768050       0.001751
    0.639700       0.766101       0.001780
    0.641700       0.768112       0.001196
    0.643700       0.767625       0.001835
    0.645700       0.766255       0.001345
    0.647700       0.766696       0.001394
    0.649700       0.766551       0.001417
    0.651700       0.767866       0.001152
    0.653700       0.769789       0.001346
    0.655700       0.768135       0.001604
    0.657700       0.768265       0.000917
    0.659700       0.770064       0.001747
    0.661700       0.766761       0.000966
    0.663700       0.768310       0.001553
    0.665700       0.769766       0.001683
    0.667700       0.773868       0.001395
    0.670200       0.767891       0.001805
    0.673200       0.771573       0.001838
    0.676200       0.773093       0.001814
    0.679200       0.771558       0.001266
    0.682200       0.772918       0.001076
    0.685200       0.775616       0.001568
    0.688200       0.774139       0.001348
    0.691200       0.775408       0.001375
    0.694200       0.776583       0.001108
    0.697200       0.772029       0.001357
    0.700200       0.778162       0.001853
    0.702000       0.772805       0.001406
    0.704000       0.777322       0.001831
    0.706000       0.773009       0.001140
    0.708000       0.775998       0.001345
    0.710000       0.775683       0.001164
    0.712000       0.777361       0.000931
    0.714000       0.778139       0.001213
    0.716000       0.776952       0.001506
    0.718000       0.779340       0.001655
    0.720000       0.774202       0.001250
    0.722000       0.777534       0.001016
    0.724000       0.776398       0.001765
    0.726000       0.778690       0.001634
    0.728000       0.777984       0.001191
    0.730000       0.777901       0.001489
    0.732000       0.784252       0.001380
    0.734000       0.780415       0.001199
    0.736000       0.781684       0.001792
    0.738000       0.780367       0.001822
    0.740000       0.783667       0.001882
    0.742000       0.781412       0.001069
    0.744000       0.784066       0.001885
    0.746000       0.779960       0.001338
    0.748000       0.778331       0.001161
    0.750500       0.783632       0.001200
    0.753500       0.783532       0.000918
    0.756500       0.784552       0.001712
    0.759500       0.783651       0.001427
    0.762500       0.781972       0.001633
    0.765500       0.788450       0.001808
    0.768500       0.784924       0.001140
    0.771500       0.783400       0.001712
    0.774500       0.789544       0.001866
    0.777500       0.788959       0.001538
    0.781000       0.787363       0.000985
    0.785000       0.788015       0.001016
    0.789000       0.792232       0.001827
    0.793000       0.785583       0.001467
    0.797000       0.788999       0.001788
    0.801500       0.785857       0.001034
    0.806500       0.791532       0.000777
    0.811500       0.792649       0.001267
    0.816500       0.791087       0.001479
    0.822000       0.792290       0.001798
    0.828000       0.792383       0.001818
    0.835000       0.792431       0.001910
    0.843000      Nan        0.000000
    0.851000       0.789470       0.002133
    0.859000       0.794093       0.002000
    0.871000       0.792103       0.002045
    0.883000       0.793634       0.001786
    0.894000       0.796911       0.001882
    0.904000       0.792831       0.001985
    0.914000       0.794081       0.001691
    0.924000       0.793116       0.001118
    0.933000       0.791938       0.001228
    0.941000       0.789372       0.001551
    0.949000       0.794248       0.001750
    0.957000       0.789709       0.001596
    0.964000       0.796836       0.001979
    0.970000       0.788818       0.001441
    0.976000       0.792396       0.001422
    0.982000       0.793435       0.001094
    0.988000       0.791791       0.001295
    0.994000       0.788553       0.001092
    1.000000       0.796113       0.001371
    1.006000       0.793254       0.001245
    1.012000       0.792540       0.001645
    1.018000       0.790639       0.001220
    1.023500       0.794081       0.001599
    1.028500       0.794928       0.001421
    1.033500       0.792852       0.001386
    1.038500       0.794074       0.001649
    1.043500       0.794985       0.001364
    1.048500       0.791673       0.001588
    1.053500       0.794928       0.001275
    1.058500       0.793745       0.001257
    1.063500       0.793121       0.001399
    1.068500       0.794987       0.001266
    1.073500       0.793949       0.001242
    1.078500       0.793282       0.001234
    1.083500       0.792675       0.001274
    1.088500       0.791322       0.001615
    1.093500       0.794750       0.001261
    1.098500       0.796759       0.001529
    1.103500       0.796311       0.001122
    1.108500       0.797235       0.001479
    1.113500       0.796097       0.001481
    1.118500       0.795960       0.000930
    1.123500       0.794311       0.001256
    1.128500       0.796117       0.001369
    1.133500       0.798863       0.001385
    1.138500       0.794142       0.001327
    1.143500       0.795831       0.001211
    1.148500       0.797721       0.001230
    1.153500       0.796213       0.001495
    1.158500       0.798873       0.001158
    1.163500       0.795782       0.001129
    1.168500       0.794603       0.000981
    1.173500       0.795964       0.001332
    1.178500       0.797778       0.000991
    1.183500       0.796152       0.001735
    1.188500       0.792465       0.001266
    1.193500       0.798448       0.001514
    1.198500       0.794388       0.000894
    1.203500       0.794996       0.000943
    1.208500       0.797435       0.000990
    1.213500       0.794790       0.001180
    1.218500       0.799055       0.001074
    1.223500       0.795471       0.001003
    1.228500       0.795749       0.001225
    1.233500       0.794587       0.000947
    1.238500       0.799295       0.001196
    1.243500       0.796787       0.000892
    1.248500       0.799527       0.001040
    1.253500       0.795108       0.001113
    1.258500       0.797965       0.001310
    1.263500       0.797838       0.001258
    1.268500       0.797389       0.001093
    1.273500       0.799074       0.001203
    1.278500       0.797485       0.001057
    1.283500       0.797735       0.000908
    1.288500       0.796283       0.001026
    1.293500       0.798190       0.001245
    1.298500       0.797539       0.000988
    1.303500       0.797266       0.000856
    1.308500       0.796923       0.001287
    1.313500       0.799180       0.000729
    1.318500       0.796538       0.001223
    1.323500       0.797911       0.000777
    1.328500       0.796474       0.001349
    1.333500       0.797490       0.000965
    1.338500       0.795430       0.001181
    1.343500       0.796889       0.001311
    1.348500       0.799874       0.001730
    1.353500       0.799855       0.001200
    1.358500       0.794751       0.001548
    1.363500       0.795504       0.001593
    1.368500       0.799202       0.001579
    1.373500       0.798486       0.001101
    1.378500       0.797462       0.001341
    1.383500       0.797746       0.001287
    1.388500       0.797245       0.001169
    1.393500       0.797258       0.001437
    1.398500       0.799706       0.001393
    1.403500       0.794914       0.001241
    1.408500       0.797742       0.001521
    1.413500       0.797728       0.001384
    1.418500       0.797369       0.001571
    1.423500       0.795541       0.001815
    1.428500       0.800404       0.001338
    1.433500       0.797831       0.001131
    1.438500       0.796189       0.001678
    1.443500       0.798630       0.001187
    1.448500       0.796583       0.001443
    1.453500       0.796545       0.001088
    1.458500       0.800812       0.001325
    1.463500       0.795505       0.001362
    1.468500       0.796126       0.001548
    1.473500       0.798046       0.001363
    1.478500       0.799296       0.001172
    1.483500       0.796033       0.001226
    1.488500       0.799516       0.001429
    1.493500       0.796661       0.001448
    1.498500       0.800665       0.001755
    1.503500       0.799944       0.001992
    1.508500       0.798921       0.001645
    1.513500       0.794404       0.001496
    1.518500       0.797818       0.001926
    1.523500       0.798871       0.001881
    1.528500       0.799192       0.001346
    1.534000       0.800740       0.001147
    1.540000       0.802343       0.001666
    1.546000       0.802146       0.001296
    1.552000       0.798385       0.001143
    1.558000       0.802551       0.001347
    1.564000       0.802192       0.001237
    1.570500       0.801669       0.000812
    1.577500       0.801143       0.001051
    1.584500       0.799249       0.001286
    1.591500       0.802776       0.001111
    1.598500       0.801323       0.001592
    1.605500       0.803883       0.000922
    1.612500       0.802964       0.001404
    1.619500       0.804273       0.001149
    1.626500       0.798765       0.001257
    1.633500       0.803839       0.001354
    1.640500       0.806205       0.001108
    1.647500       0.805255       0.001191
    1.654500       0.801864       0.001940
    1.661500       0.802756       0.001286
    1.668500       0.803617       0.002029
    1.676000       0.805311       0.001655
    1.684000       0.804807       0.001845
    1.692000       0.803658       0.002071
    1.700000       0.805190       0.002101
    1.708000       0.805061       0.001820
    1.716000       0.805225       0.001433
    1.724000       0.804846       0.001812
    1.732000       0.805961       0.002044
    1.740000       0.803134       0.002094
    1.748000       0.806222       0.002074
    1.756000       0.802034       0.002021
    1.764000       0.805664       0.001591
    1.772000       0.807838       0.002129
    1.780000       0.808265       0.001845
    1.788000       0.804968       0.001860
    1.796000       0.805659       0.001502
    1.805000       0.804944       0.001006
    1.815000       0.804877       0.000765
    1.825000       0.804525       0.000997
    1.835000       0.806524       0.001596
    1.845000       0.804355       0.001809
    1.855000       0.807500       0.001424
    1.865000       0.806458       0.001490
    1.875000       0.802997       0.001247
    1.885000       0.800801       0.001711
    1.895000       0.803637       0.001438
    1.905000       0.795165       0.001785
    1.915000       0.800228       0.001273
    1.925000       0.799640       0.001462
    1.935000       0.792575       0.001515
    1.945000       0.798389       0.002005
    1.955000       0.795554       0.001931
    1.965000       0.803451       0.001975
    1.975000       0.800576       0.001762
    1.985000       0.802222       0.001834
    1.995000       0.801956       0.001422
    2.005000       0.806965       0.001628
    2.015000       0.805038       0.001301
    2.025000       0.804303       0.001658
    2.035000       0.802219       0.001464
    2.045000       0.807916       0.001557
    2.055000       0.804029       0.002039
    2.065000       0.810611       0.001467
    2.075000       0.808014       0.002086
    2.085000       0.812322       0.001906
    2.095000       0.811988       0.002056
    2.105000       0.811131       0.002057
    2.115000       0.813250       0.002061
    2.125000       0.813951       0.002083
    2.135000       0.814103       0.001999
    2.145000       0.811547       0.001722
    2.155000       0.813913       0.001481
    2.165000       0.810600       0.001659
    2.175000       0.811936       0.001864
    2.185000       0.803082       0.002074
    2.195000       0.808578       0.002130
    2.205000       0.803790       0.002131
    2.215000       0.808096       0.002114
    2.225000       0.806140       0.002120
    2.235000       0.806046       0.002138
    2.245000       0.806126       0.002144
    2.255000       0.806870       0.002154
    2.265000       0.803105       0.002155
    2.275000       0.807020       0.002209
    2.285000       0.804407       0.002718
    2.295000       0.805020       0.003971
    2.305000       0.812055       0.003440
    2.315000       0.810021       0.002582
    2.325000       0.812604       0.002131
    2.335000       0.808187       0.002063
    2.345000       0.811400       0.002114
